# l                Dl(TT)           sigmaDl(TT)      Dl(EE)           sigmaDl(EE)      Dl(TE)           sigmaDl(TE)      BFCMB/cal(TT)    BFCMB/cal(EE)    BFCMB/cal(TE)    
  2.75048393e+02   5.10253860e+03   1.26473242e+02   5.31970955e+00   2.55374854e-01   1.07117861e+02   4.24655350e+00   4.86287493e+03   5.12234958e+00   9.89006639e+01
  2.84046862e+02   4.55133361e+03   1.17809087e+02   5.83239785e+00   2.91399227e-01   1.02847894e+02   4.43465456e+00   4.59365489e+03   6.42667509e+00   1.08165913e+02
  2.93045425e+02   4.37609740e+03   1.08985103e+02   8.22416950e+00   3.30491890e-01   1.17233799e+02   4.57921383e+00   4.30532859e+03   7.87510276e+00   1.14923758e+02
  3.02044074e+02   3.94001332e+03   1.00166065e+02   9.32172669e+00   3.71847183e-01   1.17245356e+02   4.67397344e+00   4.00485102e+03   9.43712464e+00   1.18881918e+02
  3.11042801e+02   3.65386803e+03   9.15137564e+01   1.09723593e+01   4.14539678e-01   1.19207291e+02   4.71608550e+00   3.69980215e+03   1.10775185e+01   1.19841606e+02
  3.20041599e+02   3.41544252e+03   8.31768284e+01   1.26530391e+01   4.57498865e-01   1.12909448e+02   4.70585380e+00   3.39797252e+03   1.27527571e+01   1.17731905e+02
  3.29040463e+02   3.17740958e+03   7.52986573e+01   1.52010964e+01   4.99611455e-01   1.17316861e+02   4.64691791e+00   3.10658584e+03   1.44131116e+01   1.12581312e+02
  3.38039387e+02   2.84508307e+03   6.80021558e+01   1.60852318e+01   5.39730759e-01   1.06031731e+02   4.54603548e+00   2.83221666e+03   1.60076646e+01   1.04535051e+02
  3.47038367e+02   2.50084243e+03   6.13971451e+01   1.62387699e+01   5.76747868e-01   8.63251188e+01   4.41271717e+00   2.58060188e+03   1.74859737e+01   9.38218760e+01
  3.56037399e+02   2.36068069e+03   5.55661245e+01   1.87110367e+01   6.09613377e-01   7.99544146e+01   4.25866369e+00   2.35665262e+03   1.87967344e+01   8.07861890e+01
  3.65036478e+02   2.18845076e+03   5.05661570e+01   1.85257359e+01   6.37412941e-01   6.11102788e+01   4.09698186e+00   2.16405992e+03   1.98941562e+01   6.58657441e+01
  3.74035601e+02   2.04076553e+03   4.64279013e+01   2.11050767e+01   6.59396549e-01   4.65536652e+01   3.94102391e+00   2.00545984e+03   2.07383581e+01   4.95431912e+01
  3.83034766e+02   1.89354966e+03   4.31554052e+01   2.14504840e+01   6.75049363e-01   3.16032989e+01   3.80294709e+00   1.88230617e+03   2.12984625e+01   3.23691339e+01
  3.92033969e+02   1.78920957e+03   4.07304383e+01   2.23826282e+01   6.84097434e-01   1.97742298e+01   3.69212569e+00   1.79485806e+03   2.15503044e+01   1.49158956e+01
  4.01033207e+02   1.73617277e+03   3.91072205e+01   2.11967321e+01   6.86580448e-01  -5.35856176e-01   3.61341006e+00   1.74225412e+03   2.14867751e+01  -2.23943851e+00
  4.10032479e+02   1.73973789e+03   3.82182746e+01   2.10560277e+01   6.82802607e-01  -2.19073702e+01   3.56622741e+00   1.72265811e+03   2.11047837e+01  -1.85382276e+01
  4.19031783e+02   1.73315729e+03   3.79751470e+01   1.93127547e+01   6.73382746e-01  -3.50983565e+01   3.54510653e+00   1.73315822e+03   2.04225809e+01  -3.34584457e+01
  4.28031115e+02   1.77168049e+03   3.82769438e+01   1.91497700e+01   6.59164182e-01  -4.84990760e+01   3.54122852e+00   1.77000876e+03   1.94638480e+01  -4.65356973e+01
  4.37030475e+02   1.77236941e+03   3.90146193e+01   1.93543466e+01   6.41244931e-01  -6.19919634e+01   3.54469917e+00   1.82880344e+03   1.82701321e+01  -5.73807406e+01
  4.46029861e+02   1.85844405e+03   4.00791050e+01   1.73413827e+01   6.20876228e-01  -6.22059120e+01   3.54647690e+00   1.90485018e+03   1.68894968e+01  -6.56917130e+01
  4.55029271e+02   2.04782789e+03   4.13606578e+01   1.54541738e+01   5.99474278e-01  -7.45756021e+01   3.53995607e+00   1.99308736e+03   1.53805588e+01  -7.12641870e+01
  4.64028704e+02   2.22685651e+03   4.27555759e+01   1.45958227e+01   5.78480485e-01  -8.01459278e+01   3.52157119e+00   2.08841556e+03   1.38090882e+01  -7.40039337e+01
  4.73028158e+02   2.18027369e+03   4.41699347e+01   1.16003583e+01   5.59312642e-01  -7.54392833e+01   3.49124886e+00   2.18565378e+03   1.22456869e+01  -7.39284894e+01
  4.82027633e+02   2.32539208e+03   4.55179525e+01   1.14675064e+01   5.43266677e-01  -7.20553285e+01   3.45187167e+00   2.28017256e+03   1.07630099e+01  -7.11639910e+01
  4.91027127e+02   2.42103842e+03   4.67200725e+01   1.03164977e+01   5.31473639e-01  -7.11945630e+01   3.40882913e+00   2.36758585e+03   9.43353498e+00  -6.59358406e+01
  5.00026639e+02   2.44947017e+03   4.77092432e+01   8.31042044e+00   5.24768682e-01  -5.96757034e+01   3.36884020e+00   2.44400080e+03   8.32368388e+00  -5.85547124e+01
  5.09026169e+02   2.58028297e+03   4.84325610e+01   8.23550947e+00   4.46151840e-01  -4.72298033e+01   3.17195503e+00   2.50646609e+03   7.49502509e+00  -4.94170904e+01
  5.18025715e+02   2.56102067e+03   4.88579969e+01   7.35886636e+00   4.47356955e-01  -4.24647411e+01   3.14831401e+00   2.55260786e+03   7.00019531e+00  -3.89913604e+01
  5.27025276e+02   2.58175421e+03   4.89622779e+01   6.51101873e+00   4.55604676e-01  -2.30708246e+01   3.15158022e+00   2.58088435e+03   6.87947576e+00  -2.77890093e+01
  5.36024852e+02   2.52624773e+03   4.87393792e+01   6.71815059e+00   4.71029848e-01  -1.86506568e+01   3.18366870e+00   2.59076538e+03   7.15989910e+00  -1.63466642e+01
  5.45024442e+02   2.52147736e+03   4.81968597e+01   8.59664013e+00   4.93707230e-01  -1.44684907e+00   3.24299595e+00   2.58221596e+03   7.85461231e+00  -5.20553048e+00
  5.54024045e+02   2.56896774e+03   4.73587202e+01   8.52432882e+00   5.23530943e-01   3.55622203e+00   3.32448723e+00   2.55623584e+03   8.96067371e+00   5.11305903e+00
  5.63023661e+02   2.54837011e+03   4.62601247e+01   1.06539756e+01   5.60220983e-01   1.15842655e+01   3.42090531e+00   2.51419847e+03   1.04602212e+01   1.41213097e+01
  5.72023289e+02   2.41205364e+03   4.49421552e+01   1.19026288e+01   6.03234659e-01   1.86349825e+01   3.52401391e+00   2.45847508e+03   1.23183798e+01   2.13886175e+01
  5.81022929e+02   2.41227691e+03   4.34516150e+01   1.55116910e+01   6.51800586e-01   2.65532849e+01   3.62610722e+00   2.39168556e+03   1.44865352e+01   2.65535616e+01
  5.90022579e+02   2.37560493e+03   4.18447981e+01   1.52983726e+01   7.04861410e-01   2.68883011e+01   3.72101371e+00   2.31692043e+03   1.69042407e+01   2.93398893e+01
  5.99022240e+02   2.20841410e+03   4.01803292e+01   1.82416408e+01   7.61167476e-01   2.83067613e+01   3.80470782e+00   2.23743934e+03   1.95007845e+01   2.95627585e+01
  6.08021911e+02   2.12166460e+03   3.85173694e+01   2.21240083e+01   8.19286525e-01   3.22752032e+01   3.87530060e+00   2.15680287e+03   2.21964424e+01   2.71431048e+01
  6.17021592e+02   2.13763198e+03   3.69128288e+01   2.59174771e+01   8.77701171e-01   2.39508765e+01   3.93307341e+00   2.07820668e+03   2.49050093e+01   2.21053837e+01
  6.26021282e+02   1.95295630e+03   3.54189862e+01   2.60124319e+01   9.34847177e-01   1.08455090e+01   3.98014507e+00   2.00494231e+03   2.75436145e+01   1.45814923e+01
  6.35020981e+02   1.94000062e+03   3.40838651e+01   3.01989048e+01   9.89201990e-01   7.54992418e+00   4.01999265e+00   1.93983099e+03   3.00219273e+01   4.79074281e+00
  6.44020688e+02   1.86164185e+03   3.29455941e+01   3.29539222e+01   1.03934834e+00  -5.04685369e+00   4.05674545e+00   1.88540486e+03   3.22619963e+01  -6.95735808e+00
  6.53020403e+02   1.84884772e+03   3.20348763e+01   3.28561926e+01   1.08404038e+00  -1.53994206e+01   4.09452618e+00   1.84377645e+03   3.41874062e+01  -2.02832989e+01
  6.62020125e+02   1.84998755e+03   3.13718098e+01   3.47705200e+01   1.12226393e+00  -2.99752782e+01   4.13670466e+00   1.81642506e+03   3.57374687e+01  -3.47338831e+01
  6.71019856e+02   1.81667740e+03   3.09673497e+01   3.64165581e+01   1.15328013e+00  -5.70542551e+01   4.18536581e+00   1.80415461e+03   3.68630133e+01  -4.98097424e+01
