# l                Dl(TT)           sigmaDl(TT)      Dl(EE)           sigmaDl(EE)      Dl(TE)           sigmaDl(TE)      BFCMB/cal(TT)    BFCMB/cal(EE)    BFCMB/cal(TE)    
  1.27401046e+03   7.70732298e+02   1.13542081e+01   2.80567038e+01   4.65972910e+00  -6.19755418e+00   4.64761207e+00   7.65184087e+02   2.94052049e+01  -1.40885625e+01
  1.28301039e+03   7.37240129e+02   1.11046967e+01   2.51668125e+01   4.77636815e+00  -2.54770649e+01   4.65965381e+00   7.46803065e+02   3.00717502e+01  -2.01905294e+01
  1.29201032e+03   7.58842487e+02   1.09204792e+01   3.28323719e+01   4.89267168e+00  -2.78481660e+01   4.68226719e+00   7.33351728e+02   3.04460917e+01  -2.64971650e+01
  1.30101024e+03   7.34501066e+02   1.08002467e+01   3.28665311e+01   5.00863972e+00  -3.13565709e+01   4.71591508e+00   7.24755194e+02   3.05189698e+01  -3.27825606e+01
  1.31001017e+03   7.13162743e+02   1.07406214e+01   3.23319031e+01   5.12439211e+00  -4.57291688e+01   4.76046289e+00   7.20788710e+02   3.02899119e+01  -3.88294235e+01
  1.31901010e+03   7.19506856e+02   1.07362659e+01   3.70723486e+01   5.24016424e+00  -4.53887443e+01   4.81520724e+00   7.21099402e+02   2.97691460e+01  -4.44346060e+01
  1.32801004e+03   7.23995323e+02   1.07803536e+01   2.27697880e+01   5.35629210e+00  -5.28806014e+01   4.87899337e+00   7.25143894e+02   2.89765539e+01  -4.94151819e+01
  1.33700997e+03   7.58540050e+02   1.08646476e+01   3.27688273e+01   5.47320482e+00  -5.06318260e+01   4.95030171e+00   7.32325724e+02   2.79405563e+01  -5.36112230e+01
  1.34600990e+03   7.38233929e+02   1.09800511e+01   2.56924472e+01   5.59139748e+00  -5.71832857e+01   5.02740413e+00   7.41954779e+02   2.66963121e+01  -5.68968731e+01
  1.35500984e+03   7.65689760e+02   1.11167929e+01   2.21636096e+01   5.71142754e+00  -6.56126232e+01   5.10848194e+00   7.53303806e+02   2.52838798e+01  -5.91755306e+01
  1.36400977e+03   7.77484865e+02   1.12649224e+01   2.09007951e+01   5.83387982e+00  -6.22530047e+01   5.19173868e+00   7.65539649e+02   2.37506704e+01  -6.03886910e+01
  1.37300971e+03   7.77915145e+02   1.14145977e+01   1.39866782e+01   5.95936505e+00  -5.64673183e+01   5.27549529e+00   7.77942876e+02   2.21424757e+01  -6.05176374e+01
  1.38200964e+03   7.74535408e+02   1.15563891e+01   1.97236180e+01   6.08848589e+00  -4.76517144e+01   5.35821963e+00   7.89821430e+02   2.05105505e+01  -5.95791418e+01
  1.39100958e+03   8.06578971e+02   1.16816441e+01   1.89227475e+01   6.22183775e+00  -6.65106588e+01   5.43859121e+00   8.00146901e+02   1.89014012e+01  -5.76165116e+01
  1.40000952e+03   8.30732009e+02   1.17826255e+01   2.63504712e+01   6.35997860e+00  -6.14025306e+01   5.51546697e+00   8.08596271e+02   1.73624928e+01  -5.47114820e+01
  1.40900946e+03   8.22696790e+02   1.18528682e+01   5.21899424e+00   6.50342387e+00  -5.46949170e+01   5.58791790e+00   8.14535575e+02   1.59363802e+01  -5.09686879e+01
  1.41800940e+03   8.18613221e+02   1.18871800e+01   2.00383908e+01   6.65263452e+00  -5.25645410e+01   5.65517671e+00   8.17400419e+02   1.46591577e+01  -4.65194535e+01
  1.42700934e+03   7.96698086e+02   1.18821901e+01   2.00569453e+01   6.80800959e+00  -3.83106807e+01   5.71678158e+00   8.16947611e+02   1.35626385e+01  -4.15157358e+01
  1.43600928e+03   8.03922720e+02   1.18357565e+01   1.31988979e+01   6.96988559e+00  -4.02915306e+01   5.77230707e+00   8.13005745e+02   1.26712870e+01  -3.61164110e+01
  1.44500922e+03   7.99107747e+02   1.17468241e+01   1.04536146e+01   7.13852390e+00  -3.78501996e+01   5.82127470e+00   8.05364544e+02   1.20012977e+01  -3.04922734e+01
  1.45400917e+03   7.74185499e+02   1.16161721e+01   2.19675739e+00   7.31411528e+00  -2.60471869e+01   5.86351224e+00   7.94055367e+02   1.15642265e+01  -2.48119880e+01
  1.46300911e+03   7.62521342e+02   1.14459056e+01   1.83561974e+01   7.49677189e+00  -2.17534165e+01   5.89897699e+00   7.79262794e+02   1.13594416e+01  -1.92422932e+01
  1.47200905e+03   7.49887131e+02   1.12394468e+01   1.24216952e+01   7.68654635e+00  -9.46627502e+00   5.92780487e+00   7.61196888e+02   1.13805689e+01  -1.39363592e+01
  1.48100900e+03   7.38469591e+02   1.10012546e+01   1.65419244e+01   7.88343240e+00   2.75444144e+00   5.95029160e+00   7.40288220e+02   1.16146325e+01  -9.03883154e+00
  1.49000895e+03   7.27695194e+02   1.07367357e+01   1.46136569e+01   8.08735939e+00  -4.92822803e+00   5.96692432e+00   7.16901069e+02   1.20421540e+01  -4.67408746e+00
  1.49900889e+03   7.01876237e+02   1.04522127e+01  -1.32841808e+00   8.29835922e+00  -1.97038509e+00   5.97841490e+00   6.91476851e+02   1.26360431e+01  -9.46161002e-01
  1.51203174e+03   6.55853210e+02   7.11650522e+00   2.20071303e+01   6.09120681e+00   7.48098380e+00   4.25483809e+00   6.52137243e+02   1.37384743e+01   3.08061194e+00
  1.52903138e+03   5.88468554e+02   6.70888753e+00   1.63536283e+01   6.39775871e+00   9.37965998e+00   4.25922884e+00   5.99137218e+02   1.54171436e+01   5.97624283e+00
  1.54603104e+03   5.46988044e+02   6.32007763e+00   1.72570933e+01   6.71960772e+00   1.00098840e+01   4.26374738e+00   5.47398022e+02   1.71615775e+01   6.07636486e+00
  1.56303070e+03   5.03579937e+02   5.97668284e+00   1.68231277e+01   7.05600487e+00  -4.15484627e-01   4.27610684e+00   5.00193695e+02   1.87325202e+01   3.64812298e+00
  1.58003037e+03   4.67878649e+02   5.69875322e+00   6.01868083e+00   7.40640735e+00  -1.88001018e+00   4.30409530e+00   4.60049295e+02   1.99312331e+01  -7.81170926e-01
  1.59703005e+03   4.28879044e+02   5.49820082e+00   2.36898448e+01   7.77069950e+00  -9.93433929e+00   4.35429858e+00   4.28571329e+02   2.06080723e+01  -6.51094848e+00
  1.61402973e+03   4.07641220e+02   5.37837271e+00   2.86981134e+01   8.14928382e+00  -9.51423662e+00   4.43101028e+00   4.06340067e+02   2.06821114e+01  -1.27649859e+01
  1.63102942e+03   3.99230206e+02   5.33503582e+00   2.50334380e+01   8.54310653e+00  -2.54104971e+01   4.53569285e+00   3.92901040e+02   2.01464740e+01  -1.87787515e+01
  1.64802912e+03   3.88698696e+02   5.35709776e+00   1.57096907e+01   8.95362980e+00  -2.27684326e+01   4.66671130e+00   3.86985330e+02   1.90614820e+01  -2.38810711e+01
  1.66502882e+03   3.91035492e+02   5.42867797e+00   2.57618774e+01   9.38274149e+00  -2.55241638e+01   4.81993747e+00   3.86690877e+02   1.75423194e+01  -2.75619635e+01
  1.68202853e+03   3.84901313e+02   5.53146140e+00   3.57269930e+01   9.83263291e+00  -2.99715492e+01   4.98974976e+00   3.89755962e+02   1.57460239e+01  -2.95255734e+01
  1.69902824e+03   3.99849834e+02   5.64731081e+00   1.99332333e+01   1.03056627e+01  -2.61442760e+01   5.17019597e+00   3.93831574e+02   1.38480713e+01  -2.96915399e+01
  1.71602796e+03   3.92463757e+02   5.75996899e+00  -2.28661385e+00   1.08042236e+01  -2.22110513e+01   5.35569974e+00   3.96800581e+02   1.20217737e+01  -2.81878674e+01
  1.73302769e+03   4.07004458e+02   5.85686897e+00   1.07546256e+01   1.13306200e+01  -2.82565843e+01   5.54176135e+00   3.96965248e+02   1.04210934e+01  -2.53259115e+01
  1.75002742e+03   3.77026263e+02   5.93020680e+00   3.72076475e+01   1.18869784e+01  -2.22506357e+01   5.72535342e+00   3.93185866e+02   9.16334265e+00  -2.15403074e+01
  1.76702716e+03   3.78283580e+02   5.97717173e+00   2.16951289e+01   1.24751929e+01  -1.31809411e+01   5.90504146e+00   3.84934816e+02   8.31917029e+00  -1.73303043e+01
  1.78402690e+03   3.76573829e+02   5.99990101e+00  -1.87994620e+01   1.30969035e+01  -1.18377574e+01   6.08110841e+00   3.72356832e+02   7.90963025e+00  -1.31977782e+01
  1.80102664e+03   3.57945994e+02   6.00444068e+00   2.34980579e+01   1.37535208e+01  -8.11346909e+00   6.25537264e+00   3.56137437e+02   7.90491448e+00  -9.59372264e+00
  1.81802640e+03   3.41548229e+02   5.99945666e+00   1.87568215e+01   1.44462741e+01  -1.00182073e+00   6.43094413e+00   3.37348254e+02   8.23581146e+00  -6.86563545e+00
  1.83502615e+03   3.12015882e+02   5.99516687e+00   1.66499058e+01   1.51762893e+01  -4.95993251e+00   6.61201542e+00   3.17328091e+02   8.80241589e+00  -5.22650943e+00
  1.85202591e+03   3.04318853e+02   6.00198081e+00  -6.22510587e+00   1.59446810e+01   1.79964121e+00   6.80344155e+00   2.97482143e+02   9.48713614e+00  -4.74738428e+00
  1.86902568e+03   2.75021280e+02   6.02938629e+00   3.63363992e+01   1.67526494e+01  -4.77945243e+00   7.01025552e+00   2.79085712e+02   1.01707585e+01  -5.36079298e+00
  1.88602544e+03   2.64718274e+02   6.08458059e+00   5.54723125e-01   1.76015767e+01   1.64407709e+00   7.23696487e+00   2.63172932e+02   1.07453748e+01  -6.87350124e+00
  1.90302522e+03   2.48659378e+02   6.17233722e+00  -1.87193186e+01   1.84930929e+01  -1.11332847e+01   7.48721263e+00   2.50410915e+02   1.11251738e+01  -9.00685079e+00
  1.92002499e+03   2.56660540e+02   6.29456175e+00   2.60294127e+01   1.94291453e+01  -8.79053878e+00   7.76333727e+00   2.41078498e+02   1.12532560e+01  -1.14346393e+01
  1.93702477e+03   2.43952861e+02   6.45025225e+00   2.05451038e+01   2.04120148e+01  -1.32468902e+01   8.06611130e+00   2.35053744e+02   1.11085499e+01  -1.38219659e+01
  1.95402456e+03   2.29873564e+02   6.63614385e+00  -4.28054651e+01   2.14443251e+01  -5.91437274e+00   8.39494305e+00   2.31865174e+02   1.06999955e+01  -1.58627959e+01
  1.97102435e+03   2.27777354e+02   6.84719183e+00   5.20244759e+01   2.25290162e+01  -2.80829246e+01   8.74807260e+00   2.30763769e+02   1.00672565e+01  -1.73160122e+01
  1.98802414e+03   2.24244771e+02   7.07755416e+00   5.29113149e+00   2.36698594e+01  -2.78604258e+01   9.12319591e+00   2.30854073e+02   9.27343162e+00  -1.80276181e+01
  2.00502393e+03   2.38453729e+02   7.60881651e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.31184227e+02   0.00000000e+00   0.00000000e+00
  2.03008930e+03   2.32290960e+02   5.64598088e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.30097957e+02   0.00000000e+00   0.00000000e+00
  2.06308787e+03   2.14432781e+02   5.99350010e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.23344012e+02   0.00000000e+00   0.00000000e+00
  2.09608649e+03   2.02951617e+02   6.34376980e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.08972998e+02   0.00000000e+00   0.00000000e+00
  2.12908515e+03   1.97994697e+02   6.70915886e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.88594835e+02   0.00000000e+00   0.00000000e+00
  2.16208385e+03   1.66519447e+02   7.11182486e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.66066817e+02   0.00000000e+00   0.00000000e+00
  2.19508259e+03   1.37747761e+02   7.57506434e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.45626110e+02   0.00000000e+00   0.00000000e+00
  2.22808137e+03   1.26696701e+02   8.11595853e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.30233938e+02   0.00000000e+00   0.00000000e+00
  2.26108018e+03   1.15629016e+02   8.74198167e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.20666249e+02   0.00000000e+00   0.00000000e+00
  2.29407903e+03   1.15715857e+02   9.45226536e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.15659155e+02   0.00000000e+00   0.00000000e+00
  2.32707791e+03   1.12468208e+02   1.02420134e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.12785690e+02   0.00000000e+00   0.00000000e+00
  2.36007682e+03   1.11937215e+02   1.11074804e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.09582118e+02   0.00000000e+00   0.00000000e+00
  2.39307576e+03   1.23716703e+02   1.20501880e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.04483520e+02   0.00000000e+00   0.00000000e+00
  2.42607473e+03   8.66621088e+01   1.30752952e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.72567192e+01   0.00000000e+00   0.00000000e+00
  2.45907373e+03   8.04081589e+01   1.42017114e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.87526579e+01   0.00000000e+00   0.00000000e+00
  2.49207275e+03   7.50517232e+01   1.54342015e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.03716839e+01   0.00000000e+00   0.00000000e+00
